Date,BankNifty,Nifty
11-02-2017,40,75
12-02-2017,40,75
13-02-2017,40,75
14-02-2017,40,75
15-02-2017,40,75
16-02-2017,40,75
17-02-2017,40,75
18-02-2017,40,75
19-02-2017,40,75
20-02-2017,40,75
21-02-2017,40,75
22-02-2017,40,75
23-02-2017,40,75
24-02-2017,40,75
25-02-2017,40,75
26-02-2017,40,75
27-02-2017,40,75
28-02-2017,40,75
01-03-2017,40,75
02-03-2017,40,75
03-03-2017,40,75
04-03-2017,40,75
05-03-2017,40,75
06-03-2017,40,75
07-03-2017,40,75
08-03-2017,40,75
09-03-2017,40,75
10-03-2017,40,75
11-03-2017,40,75
12-03-2017,40,75
13-03-2017,40,75
14-03-2017,40,75
15-03-2017,40,75
16-03-2017,40,75
17-03-2017,40,75
18-03-2017,40,75
19-03-2017,40,75
20-03-2017,40,75
21-03-2017,40,75
22-03-2017,40,75
23-03-2017,40,75
24-03-2017,40,75
25-03-2017,40,75
26-03-2017,40,75
27-03-2017,40,75
28-03-2017,40,75
29-03-2017,40,75
30-03-2017,40,75
31-03-2017,40,75
01-04-2017,40,75
02-04-2017,40,75
03-04-2017,40,75
04-04-2017,40,75
05-04-2017,40,75
06-04-2017,40,75
07-04-2017,40,75
08-04-2017,40,75
09-04-2017,40,75
10-04-2017,40,75
11-04-2017,40,75
12-04-2017,40,75
13-04-2017,40,75
14-04-2017,40,75
15-04-2017,40,75
16-04-2017,40,75
17-04-2017,40,75
18-04-2017,40,75
19-04-2017,40,75
20-04-2017,40,75
21-04-2017,40,75
22-04-2017,40,75
23-04-2017,40,75
24-04-2017,40,75
25-04-2017,40,75
26-04-2017,40,75
27-04-2017,40,75
28-04-2017,40,75
29-04-2017,40,75
30-04-2017,40,75
01-05-2017,40,75
02-05-2017,40,75
03-05-2017,40,75
04-05-2017,40,75
05-05-2017,40,75
06-05-2017,40,75
07-05-2017,40,75
08-05-2017,40,75
09-05-2017,40,75
10-05-2017,40,75
11-05-2017,40,75
12-05-2017,40,75
13-05-2017,40,75
14-05-2017,40,75
15-05-2017,40,75
16-05-2017,40,75
17-05-2017,40,75
18-05-2017,40,75
19-05-2017,40,75
20-05-2017,40,75
21-05-2017,40,75
22-05-2017,40,75
23-05-2017,40,75
24-05-2017,40,75
25-05-2017,40,75
26-05-2017,40,75
27-05-2017,40,75
28-05-2017,40,75
29-05-2017,40,75
30-05-2017,40,75
31-05-2017,40,75
01-06-2017,40,75
02-06-2017,40,75
03-06-2017,40,75
04-06-2017,40,75
05-06-2017,40,75
06-06-2017,40,75
07-06-2017,40,75
08-06-2017,40,75
09-06-2017,40,75
10-06-2017,40,75
11-06-2017,40,75
12-06-2017,40,75
13-06-2017,40,75
14-06-2017,40,75
15-06-2017,40,75
16-06-2017,40,75
17-06-2017,40,75
18-06-2017,40,75
19-06-2017,40,75
20-06-2017,40,75
21-06-2017,40,75
22-06-2017,40,75
23-06-2017,40,75
24-06-2017,40,75
25-06-2017,40,75
26-06-2017,40,75
27-06-2017,40,75
28-06-2017,40,75
29-06-2017,40,75
30-06-2017,40,75
01-07-2017,40,75
02-07-2017,40,75
