tr_date,tr_time,tr_open,tr_high,tr_low,tr_close,tr_segment,stock_name
03-01-2019,09:26:59,27071.7,27075.7,27064.2,27071.85,4,BANKNIFTY
03-01-2019,09:27:59,27071.65,27077.35,27059.85,27075.3,4,BANKNIFTY
03-01-2019,09:28:59,27075,27081.85,27070.05,27079.1,4,BANKNIFTY
03-01-2019,09:29:59,27078.9,27085.15,27065.65,27065.65,4,BANKNIFTY
03-01-2019,09:30:59,27066.45,27093.35,27064.75,27091.7,4,BANKNIFTY
03-01-2019,09:31:59,27092.15,27111.15,27090.6,27091.65,4,BANKNIFTY
03-01-2019,09:32:59,27091.4,27109.1,27090.8,27097.5,4,BANKNIFTY
03-01-2019,10:48:59,27085.4,27094.05,27080.3,27090.45,4,BANKNIFTY
03-01-2019,10:49:59,27090.1,27092.55,27070.85,27070.85,4,BANKNIFTY
03-01-2019,10:50:59,27070.5,27074.75,27055.2,27073.9,4,BANKNIFTY
03-01-2019,10:51:59,27072.95,27079.35,27057.85,27058.65,4,BANKNIFTY
03-01-2019,10:52:59,27059.35,27067.4,27056,27056,4,BANKNIFTY
03-01-2019,10:53:59,27049.25,27060.25,27047.05,27060.25,4,BANKNIFTY
03-01-2019,10:54:59,27057.7,27071.6,27057.7,27068.05,4,BANKNIFTY
03-01-2019,10:55:59,27070.8,27073.65,27060,27066.15,4,BANKNIFTY
03-01-2019,10:56:59,27064.9,27071.9,27063.1,27067.3,4,BANKNIFTY
03-01-2019,10:57:59,27066.3,27072.7,27060.5,27070.9,4,BANKNIFTY
03-01-2019,10:58:59,27071.05,27074.45,27066.1,27069.75,4,BANKNIFTY
03-01-2019,10:59:59,27069.2,27076.4,27069.2,27075.3,4,BANKNIFTY
03-01-2019,11:00:59,27074.7,27076.15,27067.55,27070.95,4,BANKNIFTY
03-01-2019,11:01:59,27067.6,27089.7,27067.2,27085.4,4,BANKNIFTY
03-01-2019,11:02:59,27085.15,27106.95,27085.15,27104.45,4,BANKNIFTY
03-01-2019,11:03:59,27105.7,27114.45,27097.7,27111.1,4,BANKNIFTY
03-01-2019,11:04:59,27112.2,27112.2,27099.05,27104.8,4,BANKNIFTY
03-01-2019,11:05:59,27104.1,27106.3,27097.75,27105.65,4,BANKNIFTY
03-01-2019,11:06:59,27104.75,27108.5,27100.25,27105.75,4,BANKNIFTY
03-01-2019,11:07:59,27105.35,27113.95,27104,27107.85,4,BANKNIFTY
03-01-2019,11:08:59,27104.55,27105.8,27089.65,27095.2,4,BANKNIFTY
03-01-2019,11:09:59,27094.8,27114.75,27094.8,27106.65,4,BANKNIFTY
03-01-2019,11:10:59,27105.3,27108.6,27087.05,27093.5,4,BANKNIFTY
03-01-2019,11:11:59,27093.1,27104.15,27087.05,27097.65,4,BANKNIFTY
03-01-2019,11:12:59,27101.85,27109.2,27098.75,27105.45,4,BANKNIFTY
03-01-2019,11:13:59,27104.6,27105.3,27098.85,27100.1,4,BANKNIFTY
03-01-2019,11:14:59,27098.5,27102.9,27096.45,27102.75,4,BANKNIFTY
03-01-2019,11:15:59,27102.25,27103.4,27070.5,27070.5,4,BANKNIFTY
03-01-2019,11:16:59,27070.4,27078.45,27067.6,27076.25,4,BANKNIFTY
03-01-2019,11:17:59,27078.45,27085,27071.3,27083,4,BANKNIFTY
03-01-2019,11:18:59,27081.8,27087.65,27080.25,27084.95,4,BANKNIFTY
03-01-2019,11:19:59,27082.75,27084.1,27074.5,27084.05,4,BANKNIFTY
03-01-2019,11:20:59,27085.95,27088.6,27080.5,27088.5,4,BANKNIFTY
03-01-2019,11:21:59,27088.35,27099.85,27088.35,27092.4,4,BANKNIFTY
03-01-2019,11:22:59,27090.7,27096.2,27086.75,27086.75,4,BANKNIFTY
03-01-2019,11:23:59,27086.9,27089.6,27080.85,27083.45,4,BANKNIFTY
03-01-2019,11:24:59,27084.8,27087.65,27065.3,27069.15,4,BANKNIFTY
03-01-2019,11:25:59,27068.45,27085.05,27068.45,27078.55,4,BANKNIFTY
03-01-2019,11:26:59,27076.6,27081.4,27074.65,27078.85,4,BANKNIFTY
03-01-2019,11:27:59,27078.15,27081.85,27077.75,27080.45,4,BANKNIFTY
03-01-2019,11:28:59,27080.35,27082.75,27069.1,27069.9,4,BANKNIFTY
03-01-2019,11:29:59,27069.55,27072.5,27065,27072.15,4,BANKNIFTY
03-01-2019,11:30:59,27064.6,27079.05,27062.25,27077.95,4,BANKNIFTY
03-01-2019,11:31:59,27077.3,27080.3,27068.15,27073.4,4,BANKNIFTY
03-01-2019,11:32:59,27073.05,27074.65,27039.1,27044.9,4,BANKNIFTY
03-01-2019,11:33:59,27043.4,27049.65,27038.65,27044.05,4,BANKNIFTY
03-01-2019,11:34:59,27044.3,27057.35,27041.5,27054.05,4,BANKNIFTY
03-01-2019,11:35:59,27053,27053.85,27045.1,27048.65,4,BANKNIFTY
03-01-2019,11:36:59,27046.8,27046.8,27022.85,27024.3,4,BANKNIFTY
03-01-2019,11:37:59,27021.55,27034.95,27018.5,27026.4,4,BANKNIFTY
03-01-2019,11:38:59,27026.1,27036.1,27021.95,27035.3,4,BANKNIFTY
03-01-2019,11:39:59,27033.9,27036.65,27008.95,27014.3,4,BANKNIFTY
03-01-2019,11:40:59,27010.65,27018.4,26997.25,27001.05,4,BANKNIFTY
03-01-2019,11:41:59,27001.2,27017.15,26997.9,27015.05,4,BANKNIFTY
03-01-2019,11:42:59,27014.25,27018.85,27007.65,27010.9,4,BANKNIFTY
